step,tl_name,actions,phase,reward
25269,구성삼거리,0,4,0
25269,과기원삼거리,0,3,0
25269,카이스트교삼거리,0,2,0
25269,갑천(단),0,2,0
25270,미래부동산삼거리,0,2,0
25270,충대농대삼거리,0,2,0
25270,다솔APT삼거리,0,2,0
25270,유성구청네거리,0,1,0
25270,강변아파트삼거리,0,4,0
25270,보건환경연구원(단),0,0,0
25270,갑천네거리,0,5,0
25270,구성삼거리,0,4,0
25270,과기원삼거리,0,3,0
25270,카이스트교삼거리,0,2,0
25270,갑천(단),0,2,0
25271,미래부동산삼거리,0,2,0
25271,충대농대삼거리,0,2,0
25271,다솔APT삼거리,0,2,0
25271,유성구청네거리,0,1,0
25271,강변아파트삼거리,0,4,0
25271,보건환경연구원(단),0,0,0
25271,갑천네거리,0,5,0
25271,구성삼거리,0,4,0
25271,과기원삼거리,0,3,0
25271,카이스트교삼거리,0,2,0
25271,갑천(단),0,2,0
25272,미래부동산삼거리,0,2,0
25272,충대농대삼거리,0,2,0
25272,다솔APT삼거리,0,2,0
25272,유성구청네거리,0,1,0
25272,강변아파트삼거리,0,4,0
25272,보건환경연구원(단),0,0,0
